video,start_frame,end_frame,label,mean_score,max_score
5,0,69,pre_inspection_handling,0.5042084540639605,0.5764024257659912
5,70,6630,inspection_active,0.8910648591442195,0.9880639314651489
5,590,630,dirt_or_deposit,0.5912870287895202,0.5941922068595886
5,1580,1870,anomaly_check,0.77463804880778,0.88193678855896
5,1640,1850,no_vision,0.80049682747234,0.88193678855896
5,1990,2030,anomaly_check,0.6865322709083557,0.6940653324127197
5,3760,3800,dirt_or_deposit,0.5819779872894287,0.583107590675354
5,6480,6530,dirt_or_deposit,0.594795842965444,0.6044833064079285
5,6631,6690,post_inspection_handling,0.48384817441304523,0.542265772819519
