video,start_frame,end_frame,label,mean_score,max_score
17,0,79,pre_inspection_handling,0.4964107945561409,0.5648965835571289
17,80,2050,inspection_active,0.7481875133634818,0.8503952026367188
17,100,240,dirt_or_deposit,0.6203672250111898,0.6476410627365112
17,710,780,anomaly_check,0.9794261530041695,1.0
17,780,960,dirt_or_deposit,0.6156487590388248,0.6342946887016296
17,2030,2070,dirt_or_deposit,0.5931899070739746,0.5981492400169373
17,2051,2170,post_inspection_handling,0.5323174993197123,0.6399610638618469
17,2100,2170,anomaly_check,0.937363289296627,1.0
