video,start_frame,end_frame,label,mean_score,max_score
1,0,1239,pre_inspection_handling,0.21924611060850083,0.5508532524108887
1,120,760,dirt_or_deposit,0.6472890762182383,0.660983681678772
1,900,1270,anomaly_check,0.7868663056900627,0.9364548921585083
1,930,1260,no_vision,0.7976294475443223,0.9364548921585083
1,1240,11170,inspection_active,0.9379728797455908,0.9917370080947876
1,1440,1790,dirt_or_deposit,0.6277516368362639,0.6500000357627869
1,2060,5410,dirt_or_deposit,0.6488673727782,0.675337553024292
1,5710,7090,dirt_or_deposit,0.6469990906955527,0.6661428213119507
1,7410,7720,dirt_or_deposit,0.6036539487540722,0.6217285394668579
1,8120,8230,dirt_or_deposit,0.5948784748713175,0.6007829904556274
1,8710,11130,dirt_or_deposit,0.6363023644612159,0.6486217975616455
1,11171,11220,post_inspection_handling,0.47560337781906126,0.5222919583320618
