video,start_frame,end_frame,label,mean_score,max_score
9,0,49,pre_inspection_handling,0.48356051445007325,0.532253623008728
9,50,9830,inspection_active,0.952902050074323,0.9964398145675659
9,120,160,dirt_or_deposit,0.591128945350647,0.5987258553504944
9,260,370,dirt_or_deposit,0.5838675002257029,0.5861091613769531
9,1290,1540,dirt_or_deposit,0.6052078512998728,0.6291582584381104
9,9720,9780,dirt_or_deposit,0.588368833065033,0.5960164666175842
9,9831,9880,post_inspection_handling,0.47149535417556765,0.517806887626648
