video,frame,brightness,contrast,center_contrast,sharpness,edge_density,saturation,visibility_score,no_vision_score,brown_deposit_score,light_deposit_score,dark_structure_score,dirt_deposit_score,brown_fraction,yellow_fraction,light_deposit_fraction,dark_structure_fraction,visibility_score_smooth,no_vision_score_smooth,dirt_deposit_score_smooth,brown_deposit_score_smooth,light_deposit_score_smooth,dark_structure_score_smooth,feature_anomaly_score,anomaly_score,pipe_similarity_score,inspection_active_score,handling_score
17,0,0.9269452095031738,0.20425498485565186,0.3388802111148834,0.03687573969364166,0.040989583333333336,0.07449918240308762,0.7919711538461538,0.3200320512820513,0.0,0.0,0.0,0.0,0.0,0.020494791666666668,0.0194140625,0.0,0.42485880851745605,0.08968400955200195,0.2785714268684387,0.4285714626312256,0.0,0.4285714626312256,0.744350016117096,0.744350016117096,0.3313818573951721,0.4351034164428711,0.5648965835571289
17,10,0.9269216060638428,0.20443503558635712,0.3391754627227783,0.03767717257142067,0.041015625,0.07400158047676086,0.7920432692307692,0.3199519230769231,0.0,0.0,0.0,0.0,0.0,0.020520833333333332,0.01953125,0.0,0.46367454528808594,0.09629262983798981,0.3095238208770752,0.4761905074119568,0.0,0.4761905074119568,0.7452101111412048,0.7452101111412048,0.3298724889755249,0.45142191648483276,0.5485780835151672
17,20,0.16636739671230316,0.18086914718151093,0.11989382654428482,0.010326733812689781,0.18885416666666666,0.518257737159729,0.8147814393909568,0.13830456260177826,1.0,0.0,1.0,0.65,0.175625,0.364375,0.0005078125,0.05,0.5025073289871216,0.10287261754274368,0.34047621488571167,0.523809552192688,0.0,0.523809552192688,0.0,0.2894047796726227,1.0,0.4726252257823944,0.5273747444152832
17,30,0.1664988398551941,0.1807764321565628,0.12010673433542252,0.010330522432923317,0.18734375,0.5160756707191467,0.8151190752504218,0.13821082933081524,1.0,0.0,1.0,0.65,0.17618489583333333,0.36430989583333334,0.0005078125,0.049791666666666665,0.5413327217102051,0.1094423308968544,0.37142857909202576,0.5714285969734192,0.0,0.5714285969734192,0.0,0.3157142996788025,1.0,0.4933810234069824,0.5066189765930176
17,40,0.16650833189487457,0.18101520836353302,0.12036921828985214,0.010314079001545906,0.19123697916666665,0.512167751789093,0.8159149632239954,0.13786562492450083,1.0,0.0,1.0,0.65,0.17690104166666668,0.36356770833333335,0.0004947916666666667,0.04942708333333334,0.5801471471786499,0.11600290983915329,0.40238094329833984,0.6190476417541504,0.0,0.6190476417541504,0.0,0.3420238196849823,1.0,0.5141716003417969,0.4858283996582031
17,50,0.1663472205400467,0.18086941540241241,0.12026347219944,0.010332533158361912,0.18921875,0.5137149691581726,0.8152187279350738,0.13868149621619122,1.0,0.0,1.0,0.65,0.17606770833333332,0.36356770833333335,0.0004947916666666667,0.04955729166666667,0.6190202236175537,0.12255363166332245,0.4333333373069763,0.6666666865348816,0.0,0.6666666865348816,0.0,0.3683333396911621,1.0,0.5335257053375244,0.4664742946624756
17,60,0.1663927137851715,0.18094992637634277,0.1200958788394928,0.01028837263584137,0.19110677083333333,0.5150031447410583,0.8152762518784937,0.13811997572580978,1.0,0.0,1.0,0.65,0.17330729166666667,0.36330729166666664,0.0005338541666666666,0.0498828125,0.6578496694564819,0.12914562225341797,0.4642857313156128,0.7142857313156128,0.0,0.7142857313156128,0.0,0.3946428894996643,1.0,0.5540438890457153,0.44595611095428467
17,70,0.16668511927127838,0.18077652156352997,0.12026965618133545,0.010308302007615566,0.18967447916666666,0.512697696685791,0.815679256151884,0.13764202942450843,1.0,0.0,1.0,0.65,0.17272135416666667,0.36563802083333335,0.0005208333333333333,0.05057291666666667,0.6960403919219971,0.13611294329166412,0.4952380955219269,0.7619048357009888,0.0,0.7619048357009888,0.0,0.42095237970352173,1.0,0.5744408369064331,0.4255591630935669
17,80,0.16672927141189575,0.18084101378917694,0.12035174667835236,0.01029356848448515,0.187890625,0.513263463973999,0.8156607046494118,0.1380537155270577,1.0,0.0,1.0,0.65,0.17506510416666668,0.36444010416666667,0.0005078125,0.04893229166666667,0.7342910170555115,0.14302611351013184,0.526190459728241,0.8095238208770752,0.0,0.8095238208770752,0.0,0.44726189970970154,1.0,0.5944889187812805,0.4055110812187195
17,90,0.16645419597625732,0.18087787926197052,0.11996064335107803,0.010307363234460354,0.18963541666666667,0.5158123970031738,0.8148664052313209,0.13837387823396263,1.0,0.0,1.0,0.65,0.17546875,0.3634895833333333,0.0005078125,0.04973958333333333,0.7736057043075562,0.1494961678981781,0.5571428537368774,0.8571429252624512,0.0,0.8571429252624512,0.0,0.47357144951820374,1.0,0.6148889064788818,0.38511109352111816
17,100,0.1664058417081833,0.18088941276073456,0.12025918066501617,0.010313973762094975,0.192421875,0.5131953954696655,0.8155031961661118,0.13812803059816367,1.0,0.0,1.0,0.65,0.17345052083333334,0.36399739583333335,0.0005078125,0.05125,0.8197841644287109,0.15237729251384735,0.5857362747192383,0.9047619700431824,0.0,0.8890354633331299,0.0,0.497875839471817,1.0,0.6349735856056213,0.36502641439437866
17,110,0.1661747843027115,0.18089380860328674,0.12023010104894638,0.010261858813464642,0.1876171875,0.5204423069953918,0.8151307449432519,0.1387811034917832,1.0,0.0,1.0,0.65,0.16876302083333333,0.36669270833333334,0.0005078125,0.0456640625,0.8280974626541138,0.1403232216835022,0.6166886687278748,0.9523810148239136,0.0,0.9366545677185059,0.0,0.5241853594779968,1.0,0.6554274559020996,0.3445725440979004
17,120,0.16652435064315796,0.18078888952732086,0.12030984461307526,0.010313954204320908,0.18669270833333335,0.5166942477226257,0.8154877150771964,0.13817968590392013,1.0,0.0,1.0,0.65,0.1760546875,0.36575520833333336,0.0005208333333333333,0.048528645833333335,0.828341007232666,0.13244034349918365,0.6476410627365112,1.0,0.0,0.9842735528945923,0.0,0.550494909286499,1.0,0.6750450730323792,0.32495492696762085
17,130,0.16651755571365356,0.180807426571846,0.12014768272638321,0.010265152901411057,0.19178385416666666,0.5119032859802246,0.8153349967746651,0.1379640724592739,1.0,0.0,1.0,0.65,0.17501302083333334,0.36548177083333333,0.00048177083333333335,0.05057291666666667,0.814497709274292,0.1420404613018036,0.6435995101928711,1.0,0.0,0.957330048084259,0.0,0.5470595955848694,1.0,0.694867730140686,0.30513226985931396
17,140,0.1666209101676941,0.18072451651096344,0.11999017745256424,0.010306548327207565,0.1918359375,0.5136591196060181,0.8151022820442151,0.13777204205592478,1.0,0.0,1.0,0.65,0.17571614583333334,0.3646744791666667,0.0004947916666666667,0.050768229166666665,0.8020220994949341,0.15059249103069305,0.6394354104995728,1.0,0.0,0.9295691251754761,0.0,0.5435200929641724,1.0,0.7150915265083313,0.2849084734916687
17,150,0.1667177528142929,0.18083681166172028,0.12060761451721191,0.01031244546175003,0.19252604166666668,0.513257622718811,0.8163348734786368,0.13756508890125485,1.0,0.0,1.0,0.65,0.1750390625,0.36528645833333334,0.0004947916666666667,0.05029947916666667,0.7922584414482117,0.15594282746315002,0.6351824402809143,1.0,0.0,0.901216447353363,0.0,0.5399050712585449,1.0,0.7347610592842102,0.2652389407157898
17,160,0.1663399189710617,0.18076784908771515,0.12035255134105682,0.010269335471093655,0.18725260416666667,0.5126453042030334,0.8154180807333725,0.13843193978071217,1.0,0.0,1.0,0.65,0.174375,0.36364583333333333,0.0005208333333333333,0.048776041666666665,0.7742376327514648,0.16917474567890167,0.6351824998855591,1.0,0.0,0.9012165069580078,0.0,0.5399051308631897,1.0,0.7544705271720886,0.24552947282791138
17,170,0.16476935148239136,0.17681476473808289,0.1165069118142128,0.010042847134172916,0.19143229166666667,0.5164071917533875,0.8020043407087653,0.14631378259923725,1.0,0.0,1.0,0.65,0.16830729166666666,0.3672265625,0.00046875,0.050078125,0.7603510022163391,0.17886999249458313,0.6351824402809143,1.0,0.0,0.9012163877487183,0.0,0.5399050712585449,1.0,0.7742006778717041,0.2257993221282959
17,180,0.16519874334335327,0.17727313935756683,0.11671169102191925,0.010071502067148685,0.19072916666666667,0.5124844312667847,0.8032632990983816,0.14517652660608293,1.0,0.0,1.0,0.65,0.16977864583333332,0.3663151041666667,0.0004557291666666667,0.049791666666666665,0.7402086853981018,0.19672167301177979,0.6266811490058899,0.9829973578453064,0.0,0.901216447353363,0.0,0.53267902135849,1.0,0.7939931750297546,0.20600682497024536
17,190,0.16963210701942444,0.18046054244041443,0.1257534623146057,0.010252461768686771,0.19018229166666667,0.5049477219581604,0.8256079671525547,0.13587121334340843,1.0,0.0,1.0,0.65,0.17296875,0.37723958333333335,0.0005859375,0.04837239583333333,0.7256959676742554,0.20928341150283813,0.6211327314376831,0.9719005823135376,0.0,0.9012163877487183,0.0,0.527962863445282,1.0,0.813766360282898,0.18623363971710205
17,200,0.308254599571228,0.27576741576194763,0.23394909501075745,0.009691271930932999,0.17006510416666668,0.4362112879753113,0.9697482638888888,0.06050347222222222,1.0,0.0,0.6697443181818181,0.6004616477272727,0.1528125,0.5701432291666667,0.017591145833333332,0.017734375,0.7105522155761719,0.22259163856506348,0.6158217191696167,0.9612785577774048,0.0,0.901216447353363,1.0,1.0,0.0,0.8333496451377869,0.16665035486221313
17,210,0.2805691063404083,0.2777886986732483,0.23959176242351532,0.014121408574283123,0.2083984375,0.46742284297943115,0.9665516493055555,0.06689670138888891,1.0,0.0,1.0,0.65,0.2708203125,0.4029036458333333,0.0015494791666666667,0.042877604166666666,0.7139899730682373,0.22325345873832703,0.6158217191696167,0.9612785577774048,0.0,0.9012163877487183,0.6415861248970032,0.6415861248970032,0.525773286819458,0.8421603441238403,0.15783965587615967
17,220,0.18249695003032684,0.16081777215003967,0.12659785151481628,0.008492561057209969,0.15466145833333333,0.39595359563827515,0.7971558405667984,0.1544115121557622,1.0,0.0,1.0,0.65,0.2066015625,0.40725260416666664,0.0060546875,0.0429296875,0.6965348720550537,0.2390056848526001,0.6052607297897339,0.9401565194129944,0.0,0.901216447353363,0.0,0.5144716501235962,0.9595182538032532,0.8503952026367188,0.14960479736328125
17,230,0.25371506810188293,0.13300684094429016,0.06618202477693558,0.0035523399710655212,0.0955078125,0.32618027925491333,0.5240735116343163,0.3399068991989301,1.0,0.0,0.43418560606060597,0.5651278409090909,0.0771875,0.797578125,0.003893229166666667,0.012552083333333333,0.6822623014450073,0.2522505521774292,0.5980827808380127,0.9258006811141968,0.0,0.9012163877487183,0.1305966079235077,0.5083703994750977,0.9635096788406372,0.8494544625282288,0.15054553747177124
17,240,0.28451409935951233,0.14471210539340973,0.07333263754844666,0.0035130842588841915,0.07803385416666667,0.2669813930988312,0.5531305667356803,0.31780343250108833,1.0,0.0,0.4170217803030302,0.5625532670454545,0.007200520833333333,0.7296614583333333,0.005911458333333334,0.012174479166666667,0.6786249876022339,0.25783848762512207,0.5840592384338379,0.8977535367012024,0.0,0.9012163877487183,0.0,0.49645036458969116,0.956287682056427,0.8482709527015686,0.1517290472984314
17,250,0.3056788742542267,0.1585647314786911,0.07401281595230103,0.0043760244734585285,0.12919270833333332,0.31229862570762634,0.6108787950159381,0.2502227571395637,1.0,0.0,0.40459280303030304,0.5606889204545454,0.12153645833333333,0.783125,0.020833333333333332,0.011901041666666667,0.6612776517868042,0.2743733823299408,0.5764811635017395,0.8825974464416504,0.0,0.9012163877487183,0.16386091709136963,0.49000900983810425,0.8350932002067566,0.8460872173309326,0.15391278266906738
17,260,0.20279499888420105,0.1068488284945488,0.05144613981246948,0.0031713920179754496,0.08098958333333334,0.28939205408096313,0.4367815720841711,0.4165516138524524,1.0,0.0,1.0,0.65,0.029505208333333335,0.6896223958333333,0.000390625,0.026575520833333335,0.6437379717826843,0.2904914617538452,0.5680699348449707,0.8657749891281128,0.0,0.901216447353363,0.0,0.48285946249961853,1.0,0.8438454866409302,0.15615451335906982
17,270,0.18961182236671448,0.11841822415590286,0.06491821259260178,0.00472358288243413,0.11424479166666666,0.3457896411418915,0.5236559356702618,0.34172016304551667,1.0,0.0,1.0,0.65,0.07625,0.565390625,0.003411458333333333,0.0371484375,0.6261213421821594,0.3066720962524414,0.5581502914428711,0.8459356427192688,0.0,0.9012163877487183,0.0,0.4744277596473694,0.989250898361206,0.8414896130561829,0.15851038694381714
17,280,0.13128191232681274,0.09247293323278427,0.06202613562345505,0.0028930276166647673,0.08502604166666666,0.42933908104896545,0.3926913370669264,0.5125275507256853,0.6429443359375,0.0,1.0,0.47147216796875,0.029713541666666666,0.2760286458333333,0.00020833333333333335,0.05151041666666667,0.6107902526855469,0.32103103399276733,0.5481356978416443,0.8259064555168152,0.0,0.9012163877487183,0.0,0.46591535210609436,1.0,0.8388957977294922,0.1611042022705078
17,290,0.14557158946990967,0.1262977421283722,0.0768294408917427,0.003966997377574444,0.13955729166666667,0.42543691396713257,0.5108927230055453,0.40185015213784325,0.7669677734375002,0.0,1.0,0.5334838867187501,0.0465625,0.2988671875,0.0071484375,0.06595052083333333,0.5987787246704102,0.334583044052124,0.5399734377861023,0.809581995010376,0.0,0.9012163877487183,0.0,0.45897743105888367,1.0,0.8358845710754395,0.16411542892456055
17,300,0.14128436148166656,0.11494260281324387,0.07770294696092606,0.004052687902003527,0.14858072916666668,0.4368196129798889,0.49684902240216033,0.41784683860363914,0.7769368489583335,0.0,1.0,0.5384684244791668,0.0571875,0.2914322916666667,0.0013541666666666667,0.07890625,0.5792098045349121,0.3518884778022766,0.5286867618560791,0.7870086431503296,0.0,0.901216447353363,0.0,0.44938376545906067,1.0,0.8328524827957153,0.16714751720428467
