video,frame,brightness,contrast,center_contrast,sharpness,edge_density,saturation,visibility_score,no_vision_score,brown_deposit_score,light_deposit_score,dark_structure_score,dirt_deposit_score,brown_fraction,yellow_fraction,light_deposit_fraction,dark_structure_fraction,visibility_score_smooth,no_vision_score_smooth,dirt_deposit_score_smooth,brown_deposit_score_smooth,light_deposit_score_smooth,dark_structure_score_smooth,feature_anomaly_score,anomaly_score,pipe_similarity_score,inspection_active_score,handling_score
8,0,0.9282756447792053,0.20345276594161987,0.3388802111148834,0.034172989428043365,0.03766927083333333,0.07449918240308762,0.7827764423076923,0.33024839743589746,0.0,0.0,0.0,0.0,0.0,0.020494791666666668,0.015533854166666666,0.0,0.33734971284866333,0.15380488336086273,0.22144463658332825,0.4285714626312256,0.0,0.04772614687681198,1.0,1.0,0.0,0.35295814275741577,0.6470418572425842
8,10,0.9282498359680176,0.2036467343568802,0.33916956186294556,0.03486332669854164,0.037760416666666664,0.07399918138980865,0.7830288461538462,0.32996794871794877,0.0,0.0,0.0,0.0,0.0,0.0205078125,0.015846354166666667,0.0,0.3546816110610962,0.17671531438827515,0.2465968281030655,0.4761905074119568,0.0,0.05667726323008537,1.0,1.0,0.0,0.3765162229537964,0.6234837770462036
8,20,0.3364630341529846,0.21269461512565613,0.15614286065101624,0.00645093061029911,0.07546875,0.6138684153556824,0.8705679763650085,0.10789915731055974,1.0,0.0,0.04356060606060607,0.506534090909091,0.6681770833333334,0.0048046875,0.0,0.003958333333333334,0.37262386083602905,0.1988833248615265,0.27172788977622986,0.523809552192688,0.0,0.06548745930194855,0.0,0.23096871376037598,1.0,0.40024831891059875,0.5997517108917236
8,30,0.3374936878681183,0.2134409248828888,0.157510906457901,0.006467578001320362,0.07462239583333333,0.6258090138435364,0.8711075459052888,0.10975272601248637,1.0,0.0,0.04947916666666665,0.507421875,0.6672395833333333,0.0057552083333333335,0.0,0.0040885416666666665,0.3903689682483673,0.2213030755519867,0.2967321276664734,0.5714285969734192,0.0,0.07345215976238251,0.0,0.25222232937812805,1.0,0.42421385645866394,0.5757861137390137
8,40,0.33834701776504517,0.21439671516418457,0.156795471906662,0.00648051081225276,0.07451822916666667,0.6170498132705688,0.869931455298929,0.10972668887232306,1.0,0.0,0.0548058712121212,0.5082208806818181,0.6686197916666666,0.006927083333333334,0.0,0.004205729166666667,0.40816035866737366,0.24366405606269836,0.3217659294605255,0.6190476417541504,0.0,0.08161413669586182,0.0,0.27350103855133057,1.0,0.44841253757476807,0.5515874624252319
8,50,0.34125688672065735,0.21581561863422394,0.1452067345380783,0.007958450354635715,0.08825520833333333,0.6217715740203857,0.9047505951759924,0.04860352069200054,1.0,0.0,0.04888731060606058,0.5073330965909091,0.727734375,0.049791666666666665,0.0001953125,0.004075520833333333,0.42901870608329773,0.26600754261016846,0.3472394347190857,0.6666666865348816,0.0,0.09270720183849335,0.0,0.29515352845191956,1.0,0.47284793853759766,0.5271520614624023
8,60,0.5316226482391357,0.28755876421928406,0.029656950384378433,0.005934688728302717,0.019036458333333332,0.6536204814910889,0.5184018018008776,0.30210678875822966,1.0,0.0,0.09801136363636363,0.5147017045454545,0.5747135416666667,0.7587109375,0.0,0.00515625,0.44590890407562256,0.2896369695663452,0.3729707896709442,0.7142857313156128,0.0,0.10551948100328445,0.4713597893714905,0.4713597893714905,0.49268442392349243,0.4975126087665558,0.5024874210357666
8,70,0.3424166738986969,0.1637946218252182,0.010434933938086033,0.0034206632990390062,0.01592447916666667,0.7200268507003784,0.3757484470312099,0.4671933658982939,1.0,0.0,0.1495028409090909,0.5224254261363637,0.8020572916666666,0.8039192708333334,0.0,0.0062890625,0.4847606420516968,0.29975995421409607,0.3982751667499542,0.7619048357009888,0.0,0.11548520624637604,0.0,0.3385339081287384,1.0,0.5223870277404785,0.4776129722595215
8,80,0.34116387367248535,0.16122318804264069,0.010729680769145489,0.0033808154985308647,0.016692708333333334,0.7241420745849609,0.37214783695372466,0.4715051583257229,1.0,0.0,0.1672585227272727,0.525088778409091,0.8046484375,0.8058463541666666,0.0,0.0066796875,0.5295519828796387,0.3010776937007904,0.42355841398239136,0.8095238208770752,0.0,0.125310018658638,0.0,0.36002466082572937,1.0,0.5474995374679565,0.45250046253204346
8,90,0.3404830992221832,0.1598438322544098,0.011098816059529781,0.003365245647728443,0.016692708333333334,0.6899409890174866,0.369296918506141,0.474777196702878,1.0,0.0,0.189749053030303,0.5284623579545454,0.80265625,0.8074348958333334,0.0,0.007174479166666667,0.5742365121841431,0.30167001485824585,0.4486472010612488,0.8571429252624512,0.0,0.13383838534355164,0.0,0.3813501298427582,1.0,0.5726720094680786,0.4273279905319214
